algo,taille,temps,fx
seuil,100,0.00049901008606,200.0000000000000
seuil,100,0.000492095947266,200.0000000000000
seuil,100,0.000500917434692,200.0000000000000
seuil,100,0.000456094741821,200.0000000000000
seuil,100,0.000476837158203,200.0000000000000
seuil,100,0.000533819198608,200.0000000000000
seuil,100,0.000548124313354,200.0000000000000
seuil,100,0.000553131103516,200.0000000000000
seuil,100,0.00068211555481,200.0000000000000
seuil,100,0.000576019287109,200.0000000000000
seuil,500,0.00316405296326,1349.4850021680100
seuil,500,0.00325512886047,1349.4850021680100
seuil,500,0.00315618515015,1349.4850021680100
seuil,500,0.00304198265076,1349.4850021680100
seuil,500,0.00327491760254,1349.4850021680100
seuil,500,0.00343585014343,1349.4850021680100
seuil,500,0.00330686569214,1349.4850021680100
seuil,500,0.00321483612061,1349.4850021680100
seuil,500,0.00334596633911,1349.4850021680100
seuil,500,0.0034658908844,1349.4850021680100
seuil,1000,0.00688004493713,3000.0000000000000
seuil,1000,0.00696110725403,3000.0000000000000
seuil,1000,0.00688004493713,3000.0000000000000
seuil,1000,0.00673794746399,3000.0000000000000
seuil,1000,0.00732684135437,3000.0000000000000
seuil,1000,0.00685000419617,3000.0000000000000
seuil,1000,0.00712609291077,3000.0000000000000
seuil,1000,0.00706505775452,3000.0000000000000
seuil,1000,0.00702691078186,3000.0000000000000
seuil,1000,0.0069420337677,3000.0000000000000
seuil,2000,0.0158672332764,6602.0599913279600
seuil,2000,0.0151259899139,6602.0599913279600
seuil,2000,0.0153760910034,6602.0599913279600
seuil,2000,0.0153501033783,6602.0599913279600
seuil,2000,0.0153479576111,6602.0599913279600
seuil,2000,0.0158588886261,6602.0599913279600
seuil,2000,0.0156540870667,6602.0599913279600
seuil,2000,0.0152149200439,6602.0599913279600
seuil,2000,0.0167109966278,6602.0599913279600
seuil,2000,0.0150611400604,6602.0599913279600
seuil,4000,0.034414768219,14408.2399653118000
seuil,4000,0.0340461730957,14408.2399653118000
seuil,4000,0.0338869094849,14408.2399653118000
seuil,4000,0.0352170467377,14408.2399653118000
seuil,4000,0.0336170196533,14408.2399653118000
seuil,4000,0.0377008914948,14408.2399653118000
seuil,4000,0.0334320068359,14408.2399653118000
seuil,4000,0.0381698608398,14408.2399653118000
seuil,4000,0.0366168022156,14408.2399653118000
seuil,4000,0.0353260040283,14408.2399653118000
seuil,8000,0.0715799331665,31224.7198959355000
seuil,8000,0.072879076004,31224.7198959355000
seuil,8000,0.0763049125671,31224.7198959355000
seuil,8000,0.0756359100342,31224.7198959355000
seuil,8000,0.0745489597321,31224.7198959355000
seuil,8000,0.0770280361176,31224.7198959355000
seuil,8000,0.0742931365967,31224.7198959355000
seuil,8000,0.0727820396423,31224.7198959355000
seuil,8000,0.0735609531403,31224.7198959355000
seuil,8000,0.0736689567566,31224.7198959355000
seuil,10000,0.103843927383,40000.0000000000000
seuil,10000,0.105218887329,40000.0000000000000
seuil,10000,0.100801229477,40000.0000000000000
seuil,10000,0.102390050888,40000.0000000000000
seuil,10000,0.101064920425,40000.0000000000000
seuil,10000,0.102900981903,40000.0000000000000
seuil,10000,0.0990960597992,40000.0000000000000
seuil,10000,0.105492830276,40000.0000000000000
seuil,10000,0.106289148331,40000.0000000000000
seuil,10000,0.100967884064,40000.0000000000000
seuil,12000,0.119346141815,48950.1749525715000
seuil,12000,0.124199867249,48950.1749525715000
seuil,12000,0.124176025391,48950.1749525715000
seuil,12000,0.126602172852,48950.1749525715000
seuil,12000,0.124328136444,48950.1749525715000
seuil,12000,0.122740983963,48950.1749525715000
seuil,12000,0.123924970627,48950.1749525715000
seuil,12000,0.128924846649,48950.1749525715000
seuil,12000,0.12913107872,48950.1749525715000
seuil,12000,0.129050016403,48950.1749525715000
seuil,14000,0.148987054825,58045.7924994953000
seuil,14000,0.146739959717,58045.7924994953000
seuil,14000,0.145215034485,58045.7924994953000
seuil,14000,0.148441076279,58045.7924994953000
seuil,14000,0.145906925201,58045.7924994953000
seuil,14000,0.143946886063,58045.7924994953000
seuil,14000,0.143007993698,58045.7924994953000
seuil,14000,0.1450278759,58045.7924994953000
seuil,14000,0.144915103912,58045.7924994953000
seuil,14000,0.143056869507,58045.7924994953000
