taille,temps
10,6.91414E+AC0-06
10,8.10623E+AC0-06
10,6.91414E+AC0-06
10,7.15256E+AC0-06
10,6.91414E+AC0-06
10,8.10623E+AC0-06
10,5.96046E+AC0-06
10,7.15256E+AC0-06
10,7.15256E+AC0-06
10,7.15256E+AC0-06
100,2.598763E+AC0-05
100,2.408028E+AC0-05
100,2.598763E+AC0-05
100,2.598763E+AC0-05
100,2.408028E+AC0-05
100,2.503395E+AC0-05
100,3.099442E+AC0-05
100,2.408028E+AC0-05
100,2.503395E+AC0-05
100,2.717972E+AC0-05
400,9.012222E+AC0-05
400,7.891655E+AC0-05
400,8.106232E+AC0-05
400,7.987022E+AC0-05
400,7.820129E+AC0-05
400,7.414818E+AC0-05
400,8.606911E+AC0-05
400,7.70092E+AC0-05
400,8.201599E+AC0-05
400,7.891655E+AC0-05
1000,0.000207901
1000,0.00019693375
1000,0.00019288063
1000,0.00018906593
1000,0.0002040863
1000,0.00018310547
1000,0.00019216537
1000,0.00019097328
1000,0.00018191338
1000,0.00023984909
4000,0.00085997581
4000,0.00090289116
4000,0.00073695183
4000,0.00088596344
4000,0.00083303452
4000,0.00075697899
4000,0.00079298019
4000,0.0007147789
4000,0.00125288963
4000,0.00070285797
10000,0.00253987312
10000,0.00193190575
10000,0.00187897682
10000,0.00194311142
10000,0.00182390213
10000,0.00193405151
10000,0.00187301636
10000,0.00199198723
10000,0.00175905228
10000,0.00179505348
20000,0.00422596931
20000,0.00399589539
20000,0.00364804268
20000,0.00385499001
20000,0.00361609459
20000,0.00348997116
20000,0.00359916687
20000,0.00384497643
20000,0.00390195847
20000,0.00373888016
30000,0.00561594963
30000,0.00543212891
30000,0.00554299355
30000,0.00893306732
30000,0.00570201874
30000,0.0051779747
30000,0.00627398491
30000,0.00590991974
30000,0.00617599487
30000,0.00607800484
40000,0.00771808624
40000,0.0071439743
40000,0.00744104385
40000,0.00810003281
40000,0.00787997246
40000,0.00750684738
40000,0.0074429512
40000,0.00712418556
40000,0.00743794441
40000,0.00769996643
